depth,d18O,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
3.94,4.79853,28.144392868767483,28.156173795286062,27.931276751719555,28.37825469560717,27.718291697436047,28.705446525294313
3.98,5.05199,28.47640522802012,28.48696498172377,28.247491032725254,28.723961097532257,28.02081284626344,29.038283564878792
4.02,4.74155,28.822252954446988,28.824815279224648,28.58721926296041,29.044345896630098,28.36921521785515,29.343680619206744
4.06,4.72176,29.16477464673859,29.170912645392665,28.95899817877393,29.3891577519147,28.75418883621559,29.63252296130963
4.1,4.55532,29.51584087571288,29.517356618568197,29.332898187180255,29.70328494258799,29.13343632095101,29.907640314861343
4.14,4.93543,29.871565344739707,29.86293295205572,29.69049177074932,30.013730393168114,29.50386251358984,30.196029831898894
4.16,4.87488,30.04080630779913,30.035048377687396,29.86214320010275,30.20341380190652,29.67762393675691,30.374885153240214
4.2,4.90778,30.385061758541198,30.37955633225285,30.17946158292305,30.579385653053485,29.966125281678273,30.757712455650932
4.24,4.73142,30.73647801626927,30.732108850489364,30.477622856283947,30.98418951134165,30.21207781670499,31.244980763857267
4.3,4.79894,31.26318076963532,31.266397503735533,30.933502144476506,31.602780167023205,30.56864939233395,31.94451545994766
4.38,4.92152,31.96876824801699,31.959289973812687,31.535466800719846,32.410812332064374,31.084644245298723,32.75471076713218
4.46,4.78503,32.702496861135025,32.64851295353263,32.13151970890123,33.13106359846311,31.625616846241325,33.469866466480994
4.48,4.86,32.88841609588583,32.81926099714764,32.27391125168887,33.3074089254923,31.742059849777185,33.64542997307229
4.5,4.66675,33.06264390177482,32.985416644754324,32.40965718548773,33.50290120420078,31.856427603153616,33.83245143839013
4.52,4.68785,33.242925341014235,33.14881136480451,32.54996066341661,33.68663313326357,31.942161654306243,34.05487450267778
4.58,4.82093,33.72041209617492,33.6279900557137,32.95670137610852,34.21280066138531,32.19328900447985,34.78958969862987
4.62,4.68444,34.02709966655074,33.93748216040573,33.18720501996392,34.59342100167335,32.353762187898006,35.276168948912215
